Common name	Scientific name	Status	No.	No. Back
Sora	Porzana carolina		127	141
Dot-winged Crake	Porzana spiloptera		78	0
Ash-throated Crake	Porzana albicollis		81	13
Yellow-breasted Crake	Porzana flaviventer		10	1
Colombian Crake	Neocrex colombiana		1	0
Paint-billed Crake	Neocrex erythrops		32	0
Spotted Rail	Pardirallus maculatus		35	1
Blackish Rail	Pardirallus nigricans		114	11
Plumbeous Rail	Pardirallus sanguinolentus		83	11
Purple Swamphen	Porphyrio porphyrio		100	361
Purple Gallinule	Porphyrio martinicus		108	18
Azure Gallinule	Porphyrio flavirostris		17	0
Common Moorhen	Gallinula chloropus		309	449
Spot-flanked Gallinule	Gallinula melanops		23	0
Eurasian Coot	Fulica atra		346	809
American Coot	Fulica americana		124	198
Caribbean Coot	Fulica caribaea		9	6
White-winged Coot	Fulica leucoptera		6	0
Andean Coot	Fulica ardesiaca		28	11
Red-gartered Coot	Fulica armillata		16	4
Red-fronted Coot	Fulica rufifrons		21	7
Giant Coot	Fulica gigantea		34	3
Horned Coot	Fulica cornuta		6	0
Grey-winged Trumpeter	Psophia crepitans		29	1
Pale-winged Trumpeter	Psophia leucoptera		13	6
Dark-winged Trumpeter	Psophia viridis		24	0
Sandhill Crane	Grus canadensis		113	82
Sarus Crane	Grus antigone		9	0
Whooping Crane	Grus americana		2	0
Common Crane	Grus grus		240	339
Limpkin	Aramus guarauna		141	59
Double-striped Thick-knee	Burhinus bistriatus		16	2
Peruvian Thick-knee	Burhinus superciliaris		10	2
Snowy Sheathbill	Chionis albus		5	0
Magellanic Plover	Pluvianellus socialis		3	0
Magellanic Oystercatcher	Haematopus leucopodus		17	2
Blackish Oystercatcher	Haematopus ater		18	1
Black Oystercatcher	Haematopus bachmani		18	2
American Oystercatcher	Haematopus palliatus		47	9
Eurasian Oystercatcher	Haematopus ostralegus		235	486
Black-winged Stilt	Himantopus himantopus		236	393
White-headed Stilt	Himantopus leucocephalus		22	4
Black-necked Stilt	Himantopus mexicanus		138	122
American Avocet	Recurvirostra americana		39	29
Andean Avocet	Recurvirostra andina		28	1
Northern Lapwing	Vanellus vanellus		299	345
Southern Lapwing	Vanellus chilensis		187	246
Andean Lapwing	Vanellus resplendens		50	12
European Golden Plover	Pluvialis apricaria		137	53
Pacific Golden Plover	Pluvialis fulva		49	7
American Golden Plover	Pluvialis dominica		56	3
Grey Plover	Pluvialis squatarola		109	43
Common Ringed Plover	Charadrius hiaticula		125	119
Semipalmated Plover	Charadrius semipalmatus		90	14
Little Ringed Plover	Charadrius dubius		208	57
Wilson's Plover	Charadrius wilsonia		34	3
Killdeer	Charadrius vociferus		147	254
Piping Plover	Charadrius melodus		17	1
Snowy Plover	Charadrius nivosus		29	3
Collared Plover	Charadrius collaris		37	3
Puna Plover	Charadrius alticola		9	0
Two-banded Plover	Charadrius falklandicus		5	1
Lesser Sand Plover	Charadrius mongolus		25	1
Greater Sand Plover	Charadrius leschenaultii		12	1
Eurasian Dotterel	Charadrius morinellus		57	1
Rufous-chested Plover	Charadrius modestus		22	0
Mountain Plover	Charadrius montanus		7	0
Tawny-throated Dotterel	Oreopholus ruficollis		13	0
Diademed Plover	Phegornis mitchellii		22	0
Pied Plover	Hoploxypterus cayanus		26	4
South American Painted-snipe	Nycticryphes semicollaris		0	0
Northern Jacana	Jacana spinosa		31	12
Wattled Jacana	Jacana jacana		102	48
Rufous-bellied Seedsnipe	Attagis gayi		33	2
White-bellied Seedsnipe	Attagis malouinus		8	0
Grey-breasted Seedsnipe	Thinocorus orbignyianus		21	1
Least Seedsnipe	Thinocorus rumicivorus		13	0
Eurasian Woodcock	Scolopax rusticola		154	38
American Woodcock	Scolopax minor		81	13
Jack Snipe	Lymnocryptes minimus		26	1
Pin-tailed Snipe	Gallinago stenura		30	2
Common Snipe	Gallinago gallinago		236	322
Wilson's Snipe	Gallinago delicata		125	203
South American Snipe	Gallinago paraguaiae		56	7
Puna Snipe	Gallinago andina		9	1
Noble Snipe	Gallinago nobilis		33	5
Giant Snipe	Gallinago undulata		53	2
Fuegian Snipe	Gallinago stricklandii		0	0
Andean Snipe	Gallinago jamesoni		34	5
Imperial Snipe	Gallinago imperialis		21	8
Short-billed Dowitcher	Limnodromus griseus		30	2
Long-billed Dowitcher	Limnodromus scolopaceus		62	16
Black-tailed Godwit	Limosa limosa		162	99
Hudsonian Godwit	Limosa haemastica		10	1
Bar-tailed Godwit	Limosa lapponica		45	6
Marbled Godwit	Limosa fedoa		52	31
Little Curlew	Numenius minutus		5	0
Eskimo Curlew	Numenius borealis		0	0
Whimbrel	Numenius phaeopus		204	68
Bristle-thighed Curlew	Numenius tahitiensis		29	4
Slender-billed Curlew	Numenius tenuirostris		0	0
Eurasian Curlew	Numenius arquata		344	366
Far Eastern Curlew	Numenius madagascariensis		13	2
Long-billed Curlew	Numenius americanus		44	13
Upland Sandpiper	Bartramia longicauda		53	4
Spotted Redshank	Tringa erythropus		85	28
Common Redshank	Tringa totanus		347	553
Marsh Sandpiper	Tringa stagnatilis		64	10
Common Greenshank	Tringa nebularia		209	114
Greater Yellowlegs	Tringa melanoleuca		121	35
Lesser Yellowlegs	Tringa flavipes		149	44
Green Sandpiper	Tringa ochropus		182	103
Solitary Sandpiper	Tringa solitaria		89	14
Wood Sandpiper	Tringa glareola		221	133
Grey-tailed Tattler	Tringa brevipes		26	1
Wandering Tattler	Tringa incana		10	0
Willet	Tringa semipalmata		104	46
Terek Sandpiper	Xenus cinereus		59	8
Common Sandpiper	Actitis hypoleucos		234	96
Spotted Sandpiper	Actitis macularius		83	18
Ruddy Turnstone	Arenaria interpres		108	39
Black Turnstone	Arenaria melanocephala		18	2
Surfbird	Aphriza virgata		18	0
Great Knot	Calidris tenuirostris		6	1
Red Knot	Calidris canutus		28	4
Sanderling	Calidris alba		73	28
Semipalmated Sandpiper	Calidris pusilla		64	10
Western Sandpiper	Calidris mauri		31	4
Red-necked Stint	Calidris ruficollis		15	2
Little Stint	Calidris minuta		55	17
Temminck's Stint	Calidris temminckii		76	14
Long-toed Stint	Calidris subminuta		13	0
Least Sandpiper	Calidris minutilla		86	27
White-rumped Sandpiper	Calidris fuscicollis		36	9
Baird's Sandpiper	Calidris bairdii		48	5
Pectoral Sandpiper	Calidris melanotos		64	5
Sharp-tailed Sandpiper	Calidris acuminata		6	1
Curlew Sandpiper	Calidris ferruginea		38	14
Purple Sandpiper	Calidris maritima		31	3
Rock Sandpiper	Calidris ptilocnemis		24	3
Dunlin	Calidris alpina		157	147
Stilt Sandpiper	Calidris himantopus		41	8
Spoon-billed Sandpiper	Eurynorhynchus pygmeus		1	0
Broad-billed Sandpiper	Limicola falcinellus		33	3
Buff-breasted Sandpiper	Tryngites subruficollis		6	0
Ruff	Philomachus pugnax		22	8
Wilson's Phalarope	Phalaropus tricolor		20	22
Red-necked Phalarope	Phalaropus lobatus		56	13
Red Phalarope	Phalaropus fulicarius		27	0
Oriental Pratincole	Glareola maldivarum		19	3
Brown Noddy	Anous stolidus		23	9
Black Noddy	Anous minutus		14	34
White Tern	Gygis alba		32	78
Black Skimmer	Rynchops niger		61	33
Swallow-tailed Gull	Creagrus furcatus		11	2
Black-legged Kittiwake	Rissa tridactyla		86	96
Red-legged Kittiwake	Rissa brevirostris		3	0
Ivory Gull	Pagophila eburnea		2	0
Sabine's Gull	Xema sabini		10	0
Bonaparte's Gull	Chroicocephalus philadelphia		38	4
Silver Gull	Chroicocephalus novaehollandiae		8	12
Andean Gull	Chroicocephalus serranus		51	3
Brown-hooded Gull	Chroicocephalus maculipennis		19	3
Black-headed Gull	Chroicocephalus ridibundus		448	976
Grey-headed Gull	Chroicocephalus cirrocephalus		23	28
Little Gull	Hydrocoloeus minutus		28	17
Ross's Gull	Rhodostethia rosea		2	0
Dolphin Gull	Leucophaeus scoresbii		8	0
Laughing Gull	Leucophaeus atricilla		62	69
Franklin's Gull	Leucophaeus pipixcan		49	44
Grey Gull	Leucophaeus modestus		8	6
Belcher's Gull	Larus belcheri		9	4
Olrog's Gull	Larus atlanticus		2	0
Black-tailed Gull	Larus crassirostris		21	7
Heermann's Gull	Larus heermanni		30	3
Mew Gull	Larus canus		209	296
Ring-billed Gull	Larus delawarensis		66	86
California Gull	Larus californicus		46	28
Great Black-backed Gull	Larus marinus		89	36
Kelp Gull	Larus dominicanus		50	29
Glaucous-winged Gull	Larus glaucescens		37	22
Western Gull	Larus occidentalis		25	24
Yellow-footed Gull	Larus livens		11	1
Glaucous Gull	Larus hyperboreus		30	4
Iceland Gull	Larus glaucoides		1	0
Thayer's Gull	Larus thayeri		0	0
American Herring Gull	Larus smithsonianus		37	35
Yellow-legged Gull	Larus michahellis		136	196
Slaty-backed Gull	Larus schistisagus		21	8
Lesser Black-backed Gull	Larus fuscus		80	212
Gull-billed Tern	Gelochelidon nilotica		116	46
Caspian Tern	Hydroprogne caspia		96	48
Royal Tern	Thalasseus maximus		69	40
Elegant Tern	Thalasseus elegans		70	22
Sandwich Tern	Thalasseus sandvicensis		89	64
Least Tern	Sternula antillarum		75	50
Yellow-billed Tern	Sternula superciliaris		23	2
Peruvian Tern	Sternula lorata		6	0
Aleutian Tern	Onychoprion aleuticus		7	0
Spectacled Tern	Onychoprion lunatus		0	0
Bridled Tern	Onychoprion anaethetus		7	0
Sooty Tern	Onychoprion fuscatus		15	11
Roseate Tern	Sterna dougallii		77	21
South American Tern	Sterna hirundinacea		14	1
Common Tern	Sterna hirundo		259	164
Arctic Tern	Sterna paradisaea		95	55
Antarctic Tern	Sterna vittata		12	2
Forster's Tern	Sterna forsteri		66	38
Snowy-crowned Tern	Sterna trudeaui		9	1
Whiskered Tern	Chlidonias hybrida		107	92
White-winged Tern	Chlidonias leucopterus		66	30
Black Tern	Chlidonias niger		127	83
Large-billed Tern	Phaetusa simplex		54	5
Inca Tern	Larosterna inca		8	1
Chilean Skua	Stercorarius chilensis		3	0
South Polar Skua	Stercorarius maccormicki		10	0
Brown Skua	Stercorarius antarcticus		12	1
Great Skua	Stercorarius skua		12	1
Pomarine Skua	Stercorarius pomarinus		5	2
Parasitic Jaeger	Stercorarius parasiticus		29	3
Long-tailed Jaeger	Stercorarius longicaudus		46	6
Little Auk	Alle alle		8	1
Thick-billed Murre	Uria lomvia		10	4
Common Murre	Uria aalge		52	77
Razorbill	Alca torda		38	21
Black Guillemot	Cepphus grylle		6	2
Pigeon Guillemot	Cepphus columba		4	1
Marbled Murrelet	Brachyramphus marmoratus		10	0
Long-billed Murrelet	Brachyramphus perdix		0	0
Kittlitz's Murrelet	Brachyramphus brevirostris		0	0
Guadalupe Murrelet	Synthliboramphus hypoleucus		0	0
Craveri's Murrelet	Synthliboramphus craveri		1	0
Ancient Murrelet	Synthliboramphus antiquus		10	0
Cassin's Auklet	Ptychoramphus aleuticus		2	2
Parakeet Auklet	Aethia psittacula		5	3
Least Auklet	Aethia pusilla		10	11
Whiskered Auklet	Aethia pygmaea		1	0
Crested Auklet	Aethia cristatella		4	0
Rhinoceros Auklet	Cerorhinca monocerata		0	0
Atlantic Puffin	Fratercula arctica		15	0
Horned Puffin	Fratercula corniculata		1	0
Tufted Puffin	Fratercula cirrhata		0	0
White-crowned Pigeon	Patagioenas leucocephala		20	27
Scaly-naped Pigeon	Patagioenas squamosa		13	30
Scaled Pigeon	Patagioenas speciosa		90	104
Picazuro Pigeon	Patagioenas picazuro		67	144
Bare-eyed Pigeon	Patagioenas corensis		11	0
Spot-winged Pigeon	Patagioenas maculosa		31	16
Band-tailed Pigeon	Patagioenas fasciata		94	129
Chilean Pigeon	Patagioenas araucana		13	0
Pale-vented Pigeon	Patagioenas cayennensis		99	183
Red-billed Pigeon	Patagioenas flavirostris		46	39
Maranon Pigeon	Patagioenas oenops		1	0
Plain Pigeon	Patagioenas inornata		8	3
Plumbeous Pigeon	Patagioenas plumbea		277	764
Ruddy Pigeon	Patagioenas subvinacea		163	299
Short-billed Pigeon	Patagioenas nigrirostris		62	85
Dusky Pigeon	Patagioenas goodsoni		33	94
European Turtle Dove	Streptopelia turtur		137	77
Oriental Turtle Dove	Streptopelia orientalis		55	85
Eurasian Collared Dove	Streptopelia decaocto		326	1530
African Collared Dove	Streptopelia roseogrisea		11	12
Spotted Dove	Spilopelia chinensis		106	161
Mourning Dove	Zenaida macroura		117	1392
Socorro Dove	Zenaida graysoni		0	0
Eared Dove	Zenaida auriculata		63	27
Zenaida Dove	Zenaida aurita		14	36
White-winged Dove	Zenaida asiatica		116	1324
West Peruvian Dove	Zenaida meloda		40	65
Inca Dove	Columbina inca		66	203
Scaled Dove	Columbina squammata		82	165
Common Ground Dove	Columbina passerina		74	167
Plain-breasted Ground Dove	Columbina minuta		31	16
Ecuadorian Ground Dove	Columbina buckleyi		13	4
Ruddy Ground Dove	Columbina talpacoti		69	184
Picui Ground Dove	Columbina picui		29	55
Croaking Ground Dove	Columbina cruziana		29	23
Blue-eyed Ground Dove	Columbina cyanopis		0	0
Blue Ground Dove	Claravis pretiosa		92	101
Purple-winged Ground Dove	Claravis geoffroyi		0	0
Maroon-chested Ground Dove	Claravis mondetoura		10	2
Bare-faced Ground Dove	Metriopelia ceciliae		5	1
Black-winged Ground Dove	Metriopelia melanoptera		11	0
Golden-spotted Ground Dove	Metriopelia aymara		7	2
Long-tailed Ground Dove	Uropelia campestris		6	0
White-tipped Dove	Leptotila verreauxi		264	884
Yungas Dove	Leptotila megalura		18	42
Grey-fronted Dove	Leptotila rufaxilla		108	540
Grey-headed Dove	Leptotila plumbeiceps		18	15
Pallid Dove	Leptotila pallida		22	118
Caribbean Dove	Leptotila jamaicensis		5	8
Grey-chested Dove	Leptotila cassinii		21	15
Ochre-bellied Dove	Leptotila ochraceiventris		11	4
Tolima Dove	Leptotila conoveri		20	0
Purplish-backed Quail-Dove	Geotrygon lawrencii		10	2
Buff-fronted Quail-Dove	Geotrygon costaricensis		4	0
Russet-crowned Quail-Dove	Geotrygon goldmani		7	2
Sapphire Quail-Dove	Geotrygon saphirina		11	4
Olive-backed Quail-Dove	Geotrygon veraguensis		2	0
White-fronted Quail-Dove	Geotrygon leucometopia		1	0
White-faced Quail-Dove	Geotrygon albifacies		26	25
Lined Quail-Dove	Geotrygon linearis		30	14
White-throated Quail-Dove	Geotrygon frenata		58	47
Key West Quail-Dove	Geotrygon chrysia		10	0
Bridled Quail-Dove	Geotrygon mystacea		1	0
Violaceous Quail-Dove	Geotrygon violacea		8	0
Ruddy Quail-Dove	Geotrygon montana		84	287
Hoatzin	Opisthocomus hoazin		75	71
Guira Cuckoo	Guira guira		105	38
Greater Ani	Crotophaga major		94	46
Smooth-billed Ani	Crotophaga ani		203	134
Groove-billed Ani	Crotophaga sulcirostris		90	45
Striped Cuckoo	Tapera naevia		227	178
Pheasant Cuckoo	Dromococcyx phasianellus		120	16
Pavonine Cuckoo	Dromococcyx pavoninus		62	25
Lesser Ground Cuckoo	Morococcyx erythropygus		42	8
Greater Roadrunner	Geococcyx californianus		77	43
Lesser Roadrunner	Geococcyx velox		8	1
Rufous-vented Ground Cuckoo	Neomorphus geoffroyi		9	0
Scaled Ground Cuckoo	Neomorphus squamiger		3	0
Banded Ground Cuckoo	Neomorphus radiolosus		11	2
Rufous-winged Ground Cuckoo	Neomorphus rufipennis		9	0
Red-billed Ground Cuckoo	Neomorphus pucheranii		6	0
Little Cuckoo	Coccycua minuta		59	9
Dwarf Cuckoo	Coccycua pumila		3	0
Ash-colored Cuckoo	Coccycua cinerea		8	0
Squirrel Cuckoo	Piaya cayana		272	131
Black-bellied Cuckoo	Piaya melanogaster		30	9
Dark-billed Cuckoo	Coccyzus melacoryphus		42	3
Yellow-billed Cuckoo	Coccyzus americanus		134	64
Pearly-breasted Cuckoo	Coccyzus euleri		21	1
Mangrove Cuckoo	Coccyzus minor		26	5
Black-billed Cuckoo	Coccyzus erythropthalmus		53	6
Grey-capped Cuckoo	Coccyzus lansbergi		9	1
Bay-breasted Cuckoo	Coccyzus rufigularis		4	0
Hispaniolan Lizard Cuckoo	Coccyzus longirostris		8	3
Oriental Cuckoo	Cuculus optatus		81	36
Common Cuckoo	Cuculus canorus		473	1209
Western Barn Owl	Tyto alba		182	47
Ashy-faced Owl	Tyto glaucops		2	0
Oriental Scops Owl	Otus sunia		48	8
Flammulated Owl	Psiloscops flammeolus		76	6
Eastern Screech Owl	Megascops asio		61	9
Western Screech Owl	Megascops kennicottii		124	15
Balsas Screech Owl	Megascops seductus		7	2
Pacific Screech Owl	Megascops cooperi		24	1
Whiskered Screech Owl	Megascops trichopsis		68	14
Tropical Screech Owl	Megascops choliba		214	14
West Peruvian Screech Owl	Megascops roboratus		46	2
Koepcke's Screech Owl	Megascops koepckeae		33	0
Bare-shanked Screech Owl	Megascops clarkii		18	1
Bearded Screech Owl	Megascops barbarus		3	0
Rufescent Screech Owl	Megascops ingens		41	0
Colombian Screech Owl	Megascops colombianus		28	4
Cinnamon Screech Owl	Megascops petersoni		36	1
Cloud-forest Screech Owl	Megascops marshalli		20	0
Tawny-bellied Screech Owl	Megascops watsonii		129	221
Middle American Screech Owl	Megascops guatemalae		13	0
Vermiculated Screech Owl	Megascops vermiculatus		5	0
Yungas Screech Owl	Megascops hoyi		21	2
Black-capped Screech Owl	Megascops atricapilla		51	1
Long-tufted Screech Owl	Megascops sanctaecatarinae		31	0
Puerto Rican Screech Owl	Megascops nudipes		15	3
White-throated Screech Owl	Megascops albogularis		66	7
Snowy Owl	Bubo scandiacus		19	0
Great Horned Owl	Bubo virginianus		217	62
Spotted Owl	Strix occidentalis		87	13
Northern Barred Owl	Strix varia		95	13
Mexican Barred Owl	Strix sartorii		6	0
Fulvous Owl	Strix fulvescens		27	0
Rusty-barred Owl	Strix hylophila		54	1
Chaco Owl	Strix chacoensis		13	0
Rufous-legged Owl	Strix rufipes		31	0
Great Grey Owl	Strix nebulosa		24	2
Mottled Owl	Strix virgata		210	38
Rufous-banded Owl	Strix albitarsis		128	7
Black-and-white Owl	Strix nigrolineata		35	3
Black-banded Owl	Strix huhula		97	25
Crested Owl	Lophostrix cristata		64	30
Spectacled Owl	Pulsatrix perspicillata		109	16
Tawny-browed Owl	Pulsatrix koeniswaldiana		62	6
Band-bellied Owl	Pulsatrix melanota		54	4
Northern Hawk-Owl	Surnia ulula		28	0
Northern Pygmy Owl	Glaucidium californicum		94	19
Mountain Pygmy Owl	Glaucidium gnoma		70	14
Costa Rican Pygmy Owl	Glaucidium costaricanum		11	1
Andean Pygmy Owl	Glaucidium jardinii		44	8
Cloud-forest Pygmy Owl	Glaucidium nubicola		29	2
Yungas Pygmy Owl	Glaucidium bolivianum		28	7
Colima Pygmy Owl	Glaucidium palmarum		15	6
Tamaulipas Pygmy Owl	Glaucidium sanchezi		13	1
Central American Pygmy Owl	Glaucidium griseiceps		32	3
Subtropical Pygmy Owl	Glaucidium parkeri		10	1
Amazonian Pygmy Owl	Glaucidium hardyi		61	102
East Brazilian Pygmy Owl	Glaucidium minutissimum		38	5
Ferruginous Pygmy Owl	Glaucidium brasilianum		304	160
Pacific Pygmy Owl	Glaucidium peruanum		58	27
Austral Pygmy Owl	Glaucidium nana		32	0
Long-whiskered Owlet	Xenoglaux loweryi		30	1
Elf Owl	Micrathene whitneyi		54	13
Burrowing Owl	Athene cunicularia		105	5
Boreal Owl	Aegolius funereus		185	15
Northern Saw-whet Owl	Aegolius acadicus		168	3
Unspotted Saw-whet Owl	Aegolius ridgwayi		18	0
Buff-fronted Owl	Aegolius harrisii		58	2
Northern Boobook	Ninox japonica		33	1
Striped Owl	Pseudoscops clamator		73	2
Stygian Owl	Asio stygius		32	1
Long-eared Owl	Asio otus		345	17
Short-eared Owl	Asio flammeus		74	1
Oilbird	Steatornis caripensis		52	0
Great Potoo	Nyctibius grandis		44	18
Long-tailed Potoo	Nyctibius aethereus		28	15
Northern Potoo	Nyctibius jamaicensis		13	0
Common Potoo	Nyctibius griseus		119	63
Andean Potoo	Nyctibius maculosus		6	0
White-winged Potoo	Nyctibius leucopterus		34	3
Rufous Potoo	Nyctibius bracteatus		21	2
Spotted Nightjar	Eurostopodus argus		3	2
Nacunda Nighthawk	Chordeiles nacunda		12	0
Least Nighthawk	Chordeiles pusillus		25	7
Sand-colored Nighthawk	Chordeiles rupestris		8	4
Lesser Nighthawk	Chordeiles acutipennis		46	8
Common Nighthawk	Chordeiles minor		80	82
Antillean Nighthawk	Chordeiles gundlachii		15	0
Short-tailed Nighthawk	Lurocalis semitorquatus		95	17
Rufous-bellied Nighthawk	Lurocalis rufiventris		23	11
Band-tailed Nighthawk	Nyctiprogne leucopyga		28	8
Plain-tailed Nighthawk	Nyctiprogne vielliardi		2	0
Blackish Nightjar	Nyctipolus nigrescens		29	1
Pygmy Nightjar	Nyctipolus hirundinaceus		6	0
Pauraque	Nyctidromus albicollis		322	129
Anthony's Nightjar	Nyctidromus anthonyi		21	0
Little Nightjar	Setopagis parvula		55	19
Roraiman Nightjar	Setopagis whitelyi		0	0
Cayenne Nightjar	Setopagis maculosa		0	0
Sickle-winged Nightjar	Eleothreptus anomalus		12	0
White-winged Nightjar	Eleothreptus candicans		6	0
Band-winged Nightjar	Systellura longirostris		84	8
Swallow-tailed Nightjar	Uropsalis segmentata		24	3
Lyre-tailed Nightjar	Uropsalis lyra		32	0
White-tailed Nightjar	Hydropsalis cayennensis		21	0
Spot-tailed Nightjar	Hydropsalis maculicaudus		45	9
Ladder-tailed Nightjar	Hydropsalis climacocerca		18	0
Scissor-tailed Nightjar	Hydropsalis torquata		24	0
Long-trained Nightjar	Macropsalis forcipata		4	0
Least Poorwill	Siphonorhis brewsteri		4	0
Choco Poorwill	Nyctiphrynus rosenbergi		24	5
Eared Poorwill	Nyctiphrynus mcleodii		9	1
Yucatan Poorwill	Nyctiphrynus yucatanicus		12	1
Ocellated Poorwill	Nyctiphrynus ocellatus		67	98
Common Poorwill	Phalaenoptilus nuttallii		82	64
Chuck-will's-widow	Antrostomus carolinensis		86	13
Rufous Nightjar	Antrostomus rufus		60	8
Cuban Nightjar	Antrostomus cubanensis		1	0
Tawny-collared Nightjar	Antrostomus salvini		5	0
Yucatan Nightjar	Antrostomus badius		3	0
Silky-tailed Nightjar	Antrostomus sericocaudatus		35	3
Buff-collared Nightjar	Antrostomus ridgwayi		53	5
Eastern Whip-poor-will	Antrostomus vociferus		72	11
Mexican Whip-poor-will	Antrostomus arizonae		86	26
Dusky Nightjar	Antrostomus saturatus		15	1
Jungle Nightjar	Caprimulgus indicus		12	3
Spot-fronted Swift	Cypseloides cherriei		6	1
White-chinned Swift	Cypseloides cryptus		5	2
Sooty Swift	Cypseloides fumigatus		8	0
Rothschild's Swift	Cypseloides rothschildi		1	0
American Black Swift	Cypseloides niger		8	1
White-chested Swift	Cypseloides lemosi		2	0
Great Dusky Swift	Cypseloides senex		2	0
